MOT;Occurence;Frequence
baissée;2;6.520817710540902E-5
gouffre;8;2.608327084216361E-4
institutions;5;1.6302044276352254E-4
efforçai;4;1.3041635421081805E-4
roue;2;6.520817710540902E-5
new-yorkais;2;6.520817710540902E-5
serrait;2;6.520817710540902E-5
fréquemment;9;2.934367969743406E-4
faites;6;1.9562453131622705E-4
mentalement;2;6.520817710540902E-5
technique;2;6.520817710540902E-5
immenses;13;4.238531511851586E-4
mémoires;4;1.3041635421081805E-4
devrait;6;1.9562453131622705E-4
équipage;31;0.0010107267451338398
persistante;3;9.781226565811353E-5
adressaient;3;9.781226565811353E-5
effrayante;2;6.520817710540902E-5
coïncidence;3;9.781226565811353E-5
levé;3;9.781226565811353E-5
cri;11;3.586449740797496E-4
bruits;7;2.2822861986893157E-4
direction;18;5.868735939486812E-4
enclin;2;6.520817710540902E-5
promptement;2;6.520817710540902E-5
insufflait;2;6.520817710540902E-5
satanistes;2;6.520817710540902E-5
cru;2;6.520817710540902E-5
pressa;2;6.520817710540902E-5
inconscient;4;1.3041635421081805E-4
ajouta;2;6.520817710540902E-5
interrogea;3;9.781226565811353E-5
déclarations;4;1.3041635421081805E-4
frazer;5;1.6302044276352254E-4
tablette;7;2.2822861986893157E-4
impatience;4;1.3041635421081805E-4
interrogés;5;1.6302044276352254E-4
interroger;9;2.934367969743406E-4
nombreux;12;3.912490626324541E-4
hystériques;8;2.608327084216361E-4
infinies;2;6.520817710540902E-5
attiré;6;1.9562453131622705E-4
près;21;6.846858596067947E-4
prêt;2;6.520817710540902E-5
lieutenant;29;9.455185680284307E-4
horrifiés;2;6.520817710540902E-5
fuir;2;6.520817710540902E-5
expédition;9;2.934367969743406E-4
concert;2;6.520817710540902E-5
prête;4;1.3041635421081805E-4
prêta;4;1.3041635421081805E-4
supplia;2;6.520817710540902E-5
horrifiée;4;1.3041635421081805E-4
rescape;6;1.9562453131622705E-4
philippines;5;1.6302044276352254E-4
cargo;5;1.6302044276352254E-4
honnête;2;6.520817710540902E-5
hélice;3;9.781226565811353E-5
faciaux;4;1.3041635421081805E-4
janvier;5;1.6302044276352254E-4
admettre;3;9.781226565811353E-5
exécuteur;5;1.6302044276352254E-4
évoquer;6;1.9562453131622705E-4
importante;3;9.781226565811353E-5
évoqués;3;9.781226565811353E-5
ères;4;1.3041635421081805E-4
minutie;4;1.3041635421081805E-4
optimisme;5;1.6302044276352254E-4
apprendraient;2;6.520817710540902E-5
échangèrent;4;1.3041635421081805E-4
prêts;3;9.781226565811353E-5
connaîtrai;3;9.781226565811353E-5
territoire;2;6.520817710540902E-5
maintes;4;1.3041635421081805E-4
révélations;2;6.520817710540902E-5
document;17;5.542695053959766E-4
rapport;9;2.934367969743406E-4
authenticité;5;1.6302044276352254E-4
nouvelle-orléans;27;8.803103909230217E-4
descendants;4;1.3041635421081805E-4
beuglaient;3;9.781226565811353E-5
sorcières;7;2.2822861986893157E-4
création;5;1.6302044276352254E-4
situation;2;6.520817710540902E-5
suintants;3;9.781226565811353E-5
répondaient;2;6.520817710540902E-5
présager;2;6.520817710540902E-5
peut-être;8;2.608327084216361E-4
clocher;5;1.6302044276352254E-4
déchiraient;2;6.520817710540902E-5
demandes;2;6.520817710540902E-5
demander;6;1.9562453131622705E-4
contour;3;9.781226565811353E-5
revêtu;3;9.781226565811353E-5
obscurantisme;2;6.520817710540902E-5
torture;4;1.3041635421081805E-4
